name,link,address,lat,lng,rent_raw,rent_from,rent_to,layout_raw,layouts,built_year,management_fee_raw,management_fees,access,comment
コーシャハイム光が丘第二,/jkktokyo/detailMap?account=jkktokyo&bid=2080070&pgret=2,練馬区光が丘3-3-4,35.7557029,139.628408,"104,300円（月額）",104300,104300,2LDK・3DK,"['2LDK', '3DK']",1985,"2,900円",[2900],都営地下鉄大江戸線「光が丘」駅下車徒歩6分,
コーシャハイム向原,/jkktokyo/detailMap?account=jkktokyo&bid=1980340&pgret=2,板橋区向原3-7-1,35.7459027,139.6843975,"88,300～168,300円（月額）",88300,168300,1K～3LDK,"['1K', '3LDK']",2010,"4,700円",[4700],東京メトロ有楽町線「小竹向原」駅下車徒歩9分,
コーシャハイム向原ガーデンコート,/jkktokyo/detailMap?account=jkktokyo&bid=1980342&pgret=2,板橋区向原3-7-A,35.7443761,139.6828634,"95,500～202,400円（月額）",95500,202400,1K～3LDK,"['1K', '3LDK']",2018,"5,700円",[5700],東京メトロ副都心線・有楽町線「小竹向原」駅下車 徒歩4分,
コーシャハイム港南三丁目,/jkktokyo/detailMap?account=jkktokyo&bid=380130&pgret=2,港区港南3-7-1,35.6325411,139.7490155,"110,300～136,300円（月額）",110300,136300,1DK・1LDK,"['1DK', '1LDK']",2003,"3,800円",[3800],ＪＲ山手線「品川」駅下車徒歩15分,
コーシャハイム高田馬場,/jkktokyo/detailMap?account=jkktokyo&bid=480190&pgret=2,新宿区高田馬場4-15-1,35.7121242,139.7012058,"114,600～186,800円（月額）",114600,186800,1LDK～3DK,"['1LDK', '3DK']",2002,"6,500円",[6500],ＪＲ山手線「高田馬場」駅下車徒歩3分,
コーシャハイム坂下,/jkktokyo/detailMap?account=jkktokyo&bid=1980320&pgret=2,板橋区坂下3-10-A,35.7854516,139.6801704,"95,500～132,500円（月額）",95500,132500,1LDK～3DK,"['1LDK', '3DK']",2004,"6,000円",[6000],都営地下鉄三田線「蓮根」駅下車徒歩3分,
コーシャハイム笹塚,/jkktokyo/detailMap?account=jkktokyo&bid=1380130&pgret=2,渋谷区笹塚1-45-1,35.6727493,139.6651788,"119,300～176,300円（月額）",119300,176300,2K～3DK,"['2K', '3DK']",2002,"4,300円",[4300],京王線「笹塚」駅下車徒歩5分,
コーシャハイム三軒茶屋,/jkktokyo/detailMap?account=jkktokyo&bid=1280920&pgret=2,"世田谷区太子堂3-33-1,2",35.6504395,139.6722754,"110,400～202,300円（月額）",110400,202300,1DK～2LDK,"['1DK', '2LDK']",2010,"6,000円",[6000],東急田園都市線「三軒茶屋」駅下車徒歩13分,
コーシャハイム三宿テラス,/jkktokyo/detailMap?account=jkktokyo&bid=1280830&pgret=2,世田谷区三宿2-16-10,35.6514125,139.6752696,"107,200～206,100円（月額）",107200,206100,１Ｒ～２LDK,"['1R', '2LDK']",2014,"7,200円",[7200],東急田園都市線「池尻大橋」駅下車徒歩13分,
コーシャハイム志村,/jkktokyo/detailMap?account=jkktokyo&bid=1980310&pgret=2,板橋区志村2-11-6,35.776862,139.6901403,"85,800～123,800円（月額）",85800,123800,1LDK～3DK,"['1LDK', '3DK']",2002,"4,400円",[4400],都営地下鉄三田線「志村坂上」駅下車徒歩6分,
コーシャハイム春江町五丁目,/jkktokyo/detailMap?account=jkktokyo&bid=2380180&pgret=2,江戸川区春江町5-9-1,35.6808905,139.8771464,"89,400～128,200円（月額）",89400,128200,2DK+S～4DK,"['2DK+S', '4DK']",1990,"3,000円",[3000],都営地下鉄新宿線「一之江」駅下車徒歩11分,
コーシャハイム小松川一丁目,/jkktokyo/detailMap?account=jkktokyo&bid=2380150&pgret=2,"江戸川区小松川1-2-1,2",35.6884355,139.8486372,"106,000～151,600円（月額）",106000,151600,2DK+S～4DK,"['2DK+S', '4DK']",1988,"3,100円",[3100],都営地下鉄新宿線「東大島」駅下車徒歩2分,
コーシャハイム小竹町,/jkktokyo/detailMap?account=jkktokyo&bid=2080570&pgret=2,練馬区小竹町1-5-1,35.7392651,139.6786181,"84,000～156,200円（月額）",84000,156200,1DK～3LDK,"['1DK', '3LDK']",2009,"5,100円",[5100],東京メトロ副都心線「小竹向原」駅下車徒歩7分,３・４号棟には各住戸に１台エアコンが設置されています。
