住宅名,地域,優先 種別,住宅種別,間取り,床面積 [m2],家賃 [円],共益費 [円],募集戸数,last_updated
コーシャハイム亀戸七丁目,江東区,一般,一般賃貸住宅,２ＬＤＫ,60.57,115700,4100,1,2023-01-04 16:33:28.552928+09:00
コーシャハイム坂下,板橋区,一般,一般賃貸住宅（期限付）,２ＤＫ,50.96〜54.88,"100,700〜116,200",6000,2,2022-12-23 11:03:11.519043+09:00
コーシャハイム坂下,板橋区,一般,一般賃貸住宅（期限付）,２ＬＤＫ,54.88,117000,6000,1,2022-12-15 10:27:03.687241+09:00
コーシャハイム坂下,板橋区,一般,一賃リニューアル（期限付）,２ＤＫ,50.96,106700,6000,1,2022-12-28 16:10:56.079210+09:00
コーシャハイム坂下,板橋区,子育・ 高齢,一賃リニューアル（期限付）,２ＬＤＫ,58.8,116800,6000,1,2022-12-28 16:54:01.841653+09:00
コーシャハイム大森東,大田区,一般,一般賃貸住宅,３ＤＫ,62.97,118900,3000,2,2023-01-04 16:20:25.018240+09:00
亀戸九丁目,江東区,一般,一般賃貸住宅,３ＤＫ,59.92,94900,3400,1,2022-12-21 18:23:45.464868+09:00
